time,open,high,low,close,Plot
1765159200,25768,25773.5,25761.5,25769.25,NaN
1765160100,25769.75,25782.25,25769.5,25777,NaN
1765161000,25777,25783.25,25769.5,25775.25,NaN
1765161900,25775.5,25782.75,25770.75,25782.5,NaN
1765162800,25783,25787,25777,25786.5,NaN
1765163700,25785.75,25791,25782.5,25783.75,NaN
1765164600,25783.75,25794.25,25783.75,25784.5,NaN
1765165500,25785.5,25792.75,25780.5,25789.5,NaN
1765166400,25789.75,25797.75,25787,25796.75,NaN
1765167300,25796.5,25799.25,25793,25796,NaN
1765168200,25796.75,25801,25793.75,25798.25,NaN
1765169100,25798,25803.25,25794.5,25798.5,NaN
1765170000,25798.25,25799.25,25791,25798,NaN
1765170900,25798.75,25804,25797.25,25801,NaN
1765171800,25800.5,25804.25,25798.25,25801,NaN
1765172700,25801,25803.75,25791,25794.25,NaN
1765173600,25794.75,25807.25,25785.5,25806.75,NaN
1765174500,25806.75,25810.5,25804.25,25807.25,NaN
1765175400,25807,25811.5,25796.5,25798.75,NaN
1765176300,25799,25804.5,25789,25790.5,NaN
1765177200,25789.5,25796.25,25775.25,25793,NaN
1765178100,25794.5,25815.75,25792.5,25811.75,NaN
1765179000,25811.25,25821.25,25804.25,25816.75,NaN
1765179900,25816,25816.5,25799,25805.25,NaN
1765180800,25805.5,25806.25,25788.25,25791,NaN
1765181700,25791.75,25804,25781.25,25785,NaN
1765182600,25784.75,25793,25776.25,25781.5,NaN
1765183500,25782.25,25782.5,25768.25,25774.75,NaN
1765184400,25774.75,25791,25771.75,25790.25,NaN
1765185300,25788.75,25796.5,25777.75,25794.5,NaN
1765186200,25793.75,25798,25778.25,25781.25,NaN
1765187100,25781.25,25784,25768.5,25774.5,NaN
1765188000,25774,25780.75,25762.5,25776.5,NaN
1765188900,25777.25,25790,25767,25789.75,NaN
1765189800,25789,25799,25784.5,25792.25,NaN
1765190700,25792.25,25799,25787.75,25793,NaN
1765191600,25793.5,25796.5,25778.25,25794.5,NaN
1765192500,25793.25,25797.75,25771.25,25773.5,NaN
1765193400,25774.25,25782.5,25771,25782.25,NaN
1765194300,25782.25,25785,25773.5,25773.5,NaN
1765195200,25775,25786.75,25764.75,25782.25,NaN
1765196100,25781.75,25791,25780.75,25785.75,NaN
1765197000,25785.25,25802.5,25783.75,25800.5,NaN
1765197900,25801.25,25811.25,25796.75,25803.5,NaN
1765198800,25803.25,25815,25799.25,25812.75,NaN
1765199700,25813.25,25833,25798.75,25808.25,NaN
1765200600,25808.75,25810.5,25784.5,25805.5,NaN
1765201500,25805.25,25814.5,25798,25810.5,NaN
1765202400,25810.25,25824,25806.5,25818.75,NaN
1765203300,25818.75,25819.5,25782,25791.75,NaN
1765204200,25791,25860.75,25771.5,25805.25,NaN
1765205100,25805.25,25807.25,25721.5,25744.5,NaN
1765206000,25744.75,25778,25730,25741.5,NaN
1765206900,25742,25748.5,25657,25700.5,NaN
